token	pos	chunk	NER	previous	following	capitals
Dan	NNP	I-NP	PER	Secretary	Glickman	C
Glickman	NNP	I-NP	PER	Dan	said	C
said	VBD	I-VP	O	Glickman	the	NC
the	DT	I-NP	O	said	department	NC
department	NN	I-NP	O	the	was	NC
was	VBD	I-VP	O	department	monitoring	NC
monitoring	VBG	I-VP	O	was	reports	NC
reports	NNS	I-NP	O	monitoring	of	NC
of	IN	I-PP	O	reports	aflatoxin	NC
aflatoxin	NN	I-NP	O	of	found	NC
found	VBD	I-VP	O	aflatoxin	in	NC
in	IN	I-PP	O	found	corn	NC
corn	NN	I-NP	O	in	in	NC
in	IN	I-PP	O	corn	parts	NC
parts	NNS	I-NP	O	in	of	NC
of	IN	I-PP	O	parts	Texas	NC
Texas	NNP	I-NP	LOC	of	.	C
.	.	O	O	Texas	""""	NC
""""	""""	O	O	.	We	NC
We	PRP	I-NP	O	""""	're	C
're	VBP	I-VP	O	We	always	NC
always	RB	I-ADVP	O	're	concerned	NC
concerned	VBN	I-ADJP	O	always	about	NC
about	IN	I-PP	O	concerned	aflatoxin	NC
aflatoxin	NN	I-NP	O	about	but	NC
but	CC	O	O	aflatoxin	we	NC
we	PRP	I-NP	O	but	're	NC
're	VBP	I-VP	O	we	on	NC
on	IN	I-PP	O	're	top	NC
top	RB	I-NP	O	on	of	NC
of	IN	I-PP	O	top	it	NC
it	PRP	I-NP	O	of	,	NC
,	,	O	O	it	""""	NC
""""	""""	O	O	,	Glickman	NC
Glickman	NNP	I-NP	PER	""""	told	C
told	VBD	I-VP	O	Glickman	reporters	NC
reporters	NNS	I-NP	O	told	after	NC
after	IN	I-PP	O	reporters	addressing	NC
addressing	VBG	I-VP	O	after	a	NC
a	DT	I-NP	O	addressing	USDA-sponsored	NC
USDA-sponsored	JJ	I-NP	MISC	a	farmers	C
farmers	NNS	I-NP	O	USDA-sponsored	'	NC
'	POS	B-NP	O	farmers	market	NC
market	NN	I-NP	O	'	.	NC
.	.	O	O	market	""""	NC
""""	""""	O	O	.	That	NC
That	DT	I-NP	O	""""	's	C
's	VBZ	I-VP	O	That	a	NC
a	DT	I-NP	O	's	perennial	NC
perennial	JJ	I-NP	O	a	problem	NC
problem	NN	I-NP	O	perennial	.	NC
.	.	O	O	problem	It	NC
It	PRP	I-NP	O	.	may	C
may	MD	I-VP	O	It	be	NC
be	VB	I-VP	O	may	a	NC
a	DT	I-NP	O	be	little	NC
little	RB	I-NP	O	a	more	NC
more	RBR	I-ADJP	O	little	problematic	NC
problematic	JJ	I-ADJP	O	more	because	NC
because	IN	I-PP	O	problematic	of	NC
of	IN	I-PP	O	because	cold	NC
cold	JJ	I-ADJP	O	of	,	NC
,	,	O	O	cold	wet	NC
wet	VBP	I-VP	O	,	conditions	NC
conditions	NNS	I-NP	O	wet	but	NC
but	CC	O	O	conditions	we	NC
we	PRP	I-NP	O	but	're	NC
're	VBP	I-VP	O	we	on	NC
on	IN	I-PP	O	're	top	NC
top	RB	I-NP	O	on	of	NC
of	IN	I-PP	O	top	it	NC
it	PRP	I-NP	O	of	,	NC
,	,	O	O	it	""""	NC
""""	""""	O	O	,	the	NC
the	DT	I-NP	O	""""	secretary	NC
secretary	NN	I-NP	O	the	said	NC
said	VBD	I-VP	O	secretary	.	NC
